date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-21,AA,0,NA,0,NA,NA,NA,NA,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-22,AA,0,NA,0,NA,NA,NA,NA,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-23,AA,0,NA,0,NA,NA,NA,NA,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-24,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-25,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-26,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-27,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-28,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-29,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-30,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2020-12-31,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-01,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-02,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-03,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-04,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-05,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-06,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-07,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-08,AA,0,NA,0,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-09,AA,0,NA,0,NA,NA,NA,3,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-10,AA,0,NA,0,NA,NA,NA,3,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-11,AA,0,NA,0,NA,NA,NA,3,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-12,AA,21,NA,21,NA,NA,NA,3,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-13,AA,0,NA,21,NA,NA,NA,3,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-14,AA,0,NA,21,NA,NA,NA,3,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-15,AA,0,NA,21,NA,NA,NA,3,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-16,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-17,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-18,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-19,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-20,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-21,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-22,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-23,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-24,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-25,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-26,AA,0,NA,21,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-27,AA,0,NA,21,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-28,AA,0,NA,21,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-29,AA,1,NA,22,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-30,AA,0,NA,22,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-01-31,AA,0,NA,22,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-01,AA,0,NA,22,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-02,AA,0,NA,22,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-03,AA,0,NA,22,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-04,AA,0,NA,22,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-05,AA,22,NA,44,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-06,AA,0,NA,44,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-07,AA,0,NA,44,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-08,AA,0,NA,44,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-09,AA,0,NA,44,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-10,AA,0,NA,44,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-11,AA,0,NA,44,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-12,AA,0,NA,44,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-13,AA,0,NA,44,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-14,AA,0,NA,44,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-15,AA,0,NA,44,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-16,AA,0,NA,44,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-17,AA,0,NA,44,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-18,AA,0,NA,44,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
2021-02-19,AA,0,NA,44,NA,NA,NA,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
